ID;Name;Designator;Footprint;Quantity;Manufacturer Part;Manufacturer;Supplier;Supplier Part;Price
1;AFBR-S4N66C013;D1;AFBR-S4N66C013;1;AFBR-S4N66C013;Broadcom / Avago;Mouser;630-AFBR-S4N66C013;
2;OUT;A;WIRE-PAD_ROUND-.1;1;;;;;
3;VCC;C,GND,VCC;WIRE-PAD_ROUND-.1;3;;;;;
4;49.9Ω;R2,R1;R0805;2;0805W8F499JT5E;UniOhm;LCSC;C17720;0.002
5;10nF;C2,C1;C0805;2;CL21B103KBANNNC;SAMSUNG;LCSC;C1710;0.006
